index,brand,ultra_hd,full_hd,Price,Rating,inches,display_type,resolution_width,resolution_height,wifi,fast_charging,ram,rom,hdmi_port,Company,Spec_Score,usb_port
1,tcl,TRUE,FALSE,42999,4.65,55,qled,3840,2160,TRUE,20,2,16,TRUE,flipkart,58,2
2,lg,TRUE,FALSE,41999,4.55,55,led,3840,2160,TRUE,20,2,,TRUE,flipkart,55,1
3,xiaomi,TRUE,FALSE,36999,4.35,55,qled,3840,2160,TRUE,34,2,32,TRUE,amazon,55,2
4,lg,TRUE,FALSE,30999,4.4,43,led,3840,2160,TRUE,20,2,,TRUE,flipkart,52,1
5,philips,TRUE,FALSE,74999,4.05,75,qled,3840,2160,TRUE,30,2,32,TRUE,amazon,67,2
6,hisense,TRUE,FALSE,49999,4.2,55,miniled,3840,2160,TRUE,20,,,TRUE,flipkart,69,2
7,sony,TRUE,FALSE,80990,4.5,65,led,3840,2160,TRUE,20,,16,TRUE,amazon,62,2
8,croma,FALSE,FALSE,4494,4.45,32,led,,768,TRUE,20,,,TRUE,croma,31,2
9,realme,TRUE,FALSE,22499,4.2,55,qled,3840,2160,TRUE,40,2,16,TRUE,flipkart,55,2
10,xiaomi,TRUE,FALSE,44999,4.65,55,miniled,3840,2160,TRUE,20,2,32,TRUE,amazon,61,2
11,samsung,TRUE,FALSE,34490,4.55,43,miniled,3840,2160,TRUE,30,,,TRUE,flipkart,58,1
12,xiaomi,FALSE,FALSE,8999,4.5,32,led,,768,TRUE,20,5,,TRUE,croma,38,2
13,tcl,TRUE,FALSE,89990,4.4,55,miniled,3840,2160,TRUE,,,,TRUE,croma,74,
14,samsung,TRUE,FALSE,45990,4.7,55,miniled,3840,2160,TRUE,30,,,TRUE,flipkart,61,1
15,xiaomi,TRUE,FALSE,29999,4.3,43,qled,3840,2160,TRUE,30,2,32,TRUE,amazon,60,2
16,realme,TRUE,FALSE,19299,4.25,43,qled,3840,2160,TRUE,30,2,16,TRUE,flipkart,52,2
17,tcl,TRUE,FALSE,109999,4.45,65,miniled,3840,2160,TRUE,20,3,64,TRUE,flipkart,80,1
18,hisense,TRUE,FALSE,23599,4.2,43,qled,3840,2160,TRUE,20,,,TRUE,croma,63,2
19,tcl,FALSE,TRUE,10999,4.65,32,led,1920,1080,TRUE,24,5,16,TRUE,flipkart,37,1
20,samsung,TRUE,FALSE,26999,4.3,43,led,3840,2160,TRUE,20,2,,TRUE,flipkart,51,1
