,index,brand,ultra_hd,full_hd,Price,Rating,inches,display_type,wifi,rom,hdmi_port,value_score,smart_features,Company_amazon,Company_croma,Company_flipkart,brand_score,ppi,resolution_width,resolution_height,fast_charging,ram,usb_port,Spec_Score,size_category,charging_category
0,1,tcl,1,0,42999,4.65,55.0,qled,1,16.0,1,0.006272238889276496,4.0,0.0,0.0,1.0,8.0,3.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0
1,2,lg,1,0,41999,4.55,55.0,led,1,19.2,1,0.005958475201790519,3.0,0.0,0.0,1.0,10.0,3.0,1.0,2.0,1.0,1.0,0.0,2.0,1.0,2.0
2,3,xiaomi,1,0,36999,4.35,55.0,qled,1,32.0,1,0.006466390983540095,4.0,1.0,0.0,0.0,8.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0
3,4,lg,1,0,30999,4.4,43.0,led,1,19.2,1,0.007380883254298526,3.0,0.0,0.0,1.0,10.0,4.0,1.0,2.0,1.0,1.0,0.0,2.0,0.0,2.0
4,5,philips,1,0,74999,4.05,75.0,qled,1,32.0,1,0.003618048240643208,4.0,1.0,0.0,0.0,8.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,1.0,2.0
5,6,hisense,1,0,49999,4.2,55.0,miniled,1,28.8,1,0.0057961159223184466,4.0,0.0,0.0,1.0,8.0,3.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,2.0
6,7,sony,1,0,80990,4.5,65.0,led,1,16.0,1,0.0034448697370045686,4.0,1.0,0.0,0.0,10.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0
7,8,croma,0,0,4494,4.45,32.0,led,1,16.0,1,0.0306964842011571,4.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0
8,9,realme,1,0,22499,4.2,55.0,qled,1,16.0,1,0.0102671229832437,4.0,0.0,0.0,1.0,7.0,3.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0
9,10,xiaomi,1,0,44999,4.65,55.0,miniled,1,32.0,1,0.0063034734105202345,4.0,1.0,0.0,0.0,8.0,3.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0
10,11,samsung,1,0,34490,4.55,43.0,miniled,1,25.6,1,0.007651493186430849,3.0,0.0,0.0,1.0,10.0,4.0,1.0,2.0,2.0,1.0,0.0,3.0,0.0,2.0
11,12,xiaomi,0,0,8999,4.5,32.0,led,1,16.0,1,0.019002111345705078,4.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0
12,13,tcl,1,0,89990,4.4,55.0,miniled,1,22.4,1,0.0036181797977553063,3.6,0.0,1.0,0.0,8.0,3.0,1.0,2.0,1.0,1.0,0.0,4.0,1.0,2.0
13,14,samsung,1,0,45990,4.7,55.0,miniled,1,28.8,1,0.006233963905196782,3.0,0.0,0.0,1.0,10.0,3.0,1.0,2.0,2.0,1.0,0.0,3.0,1.0,2.0
14,15,xiaomi,1,0,29999,4.3,43.0,qled,1,32.0,1,0.00860028667622254,4.0,1.0,0.0,0.0,8.0,4.0,1.0,2.0,2.0,1.0,1.0,3.0,0.0,2.0
15,16,realme,1,0,19299,4.25,43.0,qled,1,16.0,1,0.011451370537333541,4.0,0.0,0.0,1.0,7.0,4.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0,2.0
16,17,tcl,1,0,109999,4.45,65.0,miniled,1,64.0,1,0.00323639305811871,3.0,0.0,0.0,1.0,8.0,2.0,1.0,2.0,1.0,2.0,0.0,4.0,1.0,2.0
17,18,hisense,1,0,23599,4.2,43.0,qled,1,16.0,1,0.011212339505911268,4.0,0.0,1.0,0.0,8.0,4.0,1.0,2.0,1.0,1.0,1.0,3.0,0.0,2.0
18,19,tcl,0,1,10999,4.65,32.0,led,1,16.0,1,0.015642331121011002,3.0,0.0,0.0,1.0,8.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0
19,20,samsung,1,0,26999,4.3,43.0,led,1,19.2,1,0.008122523056409496,3.0,0.0,0.0,1.0,10.0,4.0,1.0,2.0,1.0,1.0,0.0,2.0,0.0,2.0
20,21,lumio,1,0,51999,4.7,55.0,miniled,1,64.0,1,0.006417431104444316,5.0,1.0,0.0,0.0,,3.0,1.0,2.0,1.0,2.0,1.0,4.0,1.0,2.0
21,22,motorola,1,0,24999,4.05,43.0,qled,1,32.0,1,0.00907236289451578,4.0,0.0,0.0,1.0,7.0,4.0,1.0,2.0,3.0,1.0,1.0,2.0,0.0,1.0
22,23,compaq,1,0,11999,4.05,43.0,led,1,19.2,1,0.013163596966413867,4.0,0.0,0.0,1.0,3.0,4.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,2.0
23,24,sony,1,0,261240,4.3,65.0,lcd,1,32.0,1,0.0012674169346195067,4.0,1.0,0.0,0.0,10.0,2.0,1.0,2.0,1.0,2.0,1.0,4.0,1.0,2.0
24,25,tcl,1,0,50990,4.2,55.0,qled,1,32.0,1,0.005848205530496175,3.0,1.0,0.0,0.0,8.0,3.0,1.0,2.0,2.0,2.0,0.0,4.0,1.0,1.0
25,26,xiaomi,1,0,32999,4.45,43.0,miniled,1,32.0,1,0.007821449134822267,4.0,1.0,0.0,0.0,8.0,4.0,1.0,2.0,1.0,1.0,1.0,3.0,0.0,2.0
26,27,hisense,1,0,31299,4.65,55.0,qled,1,19.2,1,0.009805425093453467,4.0,0.0,1.0,0.0,8.0,3.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0
27,28,lumio,1,0,29999,4.0,43.0,qled,1,64.0,1,0.008000266675555852,5.0,1.0,0.0,0.0,,4.0,1.0,2.0,1.0,2.0,1.0,3.0,0.0,2.0
28,29,croma,0,0,12990,4.35,32.0,qled,1,16.0,1,0.013394919168591224,4.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0
29,30,motorola,0,0,11699,4.55,32.0,qled,1,16.0,1,0.014779040943670399,4.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0
30,31,hisense,1,0,29999,4.75,50.0,qled,1,28.8,1,0.009975332511083703,4.0,0.0,0.0,1.0,8.0,4.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0
31,32,tcl,1,0,45999,4.0,55.0,miniled,1,16.0,1,0.005478379964781843,3.0,0.0,0.0,1.0,8.0,3.0,1.0,2.0,1.0,1.0,0.0,3.0,1.0,2.0
32,33,lumio,1,0,39999,4.55,55.0,qled,1,64.0,1,0.007166429160729018,5.0,1.0,0.0,0.0,,3.0,1.0,2.0,2.0,2.0,1.0,3.0,1.0,2.0
33,34,tcl,1,0,32490,4.05,43.0,qled,1,16.0,1,0.007229916897506924,3.0,0.0,0.0,1.0,8.0,4.0,1.0,2.0,1.0,1.0,0.0,3.0,0.0,2.0
34,35,lg,1,0,45690,4.25,43.0,miniled,1,22.4,1,0.005395053622236814,3.0,0.0,1.0,0.0,10.0,4.0,1.0,2.0,1.0,1.0,0.0,3.0,0.0,2.0
35,36,samsung,1,0,37490,4.3,50.0,led,1,19.2,1,0.0063083488930381435,3.0,1.0,0.0,0.0,10.0,4.0,1.0,2.0,2.0,1.0,0.0,2.0,1.0,2.0
36,37,realme,0,0,11199,4.65,32.0,qled,1,16.0,1,0.017854272702919904,4.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0
37,38,vw,0,1,14999,4.55,43.0,qled,1,19.2,1,0.012437495833055536,3.0,1.0,0.0,0.0,,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,2.0
38,39,hisense,1,0,57999,4.2,55.0,miniled,1,28.8,1,0.004996637873066777,4.0,0.0,0.0,1.0,8.0,3.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,2.0
39,40,hisense,1,0,76990,4.25,65.0,miniled,1,32.0,1,0.004029744122613327,4.0,0.0,0.0,1.0,8.0,2.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,2.0
40,41,tcl,1,0,65990,4.45,65.0,qled,1,32.0,1,0.004990150022730717,3.0,1.0,0.0,0.0,8.0,2.0,1.0,2.0,2.0,2.0,0.0,4.0,1.0,1.0
41,42,samsung,1,0,44690,4.65,43.0,miniled,1,25.6,1,0.005930857014992168,3.0,0.0,1.0,0.0,10.0,4.0,1.0,2.0,2.0,1.0,0.0,3.0,0.0,2.0
42,43,lg,1,0,32999,4.45,43.0,led,1,19.2,1,0.006742628564501954,3.0,1.0,0.0,0.0,10.0,4.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0
43,44,lg,1,0,36299,4.55,43.0,led,1,22.4,1,0.0067687815091324825,3.0,0.0,1.0,0.0,10.0,4.0,1.0,2.0,1.0,1.0,0.0,2.0,0.0,2.0
44,45,tcl,1,0,92990,4.4,75.0,qled,1,32.0,1,0.003643402516399613,3.0,0.0,1.0,0.0,8.0,1.0,1.0,2.0,1.0,2.0,0.0,4.0,1.0,2.0
45,46,tcl,1,0,52990,4.45,55.0,qled,1,32.0,1,0.0057105114172485375,3.0,1.0,0.0,0.0,8.0,3.0,1.0,2.0,1.0,2.0,0.0,4.0,1.0,2.0
46,47,tcl,1,0,42990,4.7,55.0,qled,1,32.0,1,0.0069969760409397536,3.0,1.0,0.0,0.0,8.0,3.0,1.0,2.0,1.0,2.0,0.0,3.0,1.0,2.0
47,48,xiaomi,1,0,26999,4.1,43.0,qled,1,32.0,1,0.008200303714952405,4.0,1.0,0.0,0.0,8.0,4.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0,2.0
48,49,xiaomi,0,0,14999,4.55,32.0,qled,1,16.0,1,0.012134142276151743,4.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0
49,50,acer,1,0,24999,4.25,50.0,qled,1,19.2,1,0.00969038761550462,4.0,0.0,0.0,1.0,7.0,4.0,1.0,2.0,3.0,1.0,1.0,3.0,1.0,1.0
50,51,tcl,0,1,15990,4.75,32.0,qled,1,19.2,1,0.01217948717948718,4.0,0.0,1.0,0.0,8.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0
51,52,lg,1,0,99999,4.75,75.0,led,1,22.4,1,0.0030875308753087532,3.0,0.0,0.0,1.0,10.0,1.0,1.0,2.0,1.0,2.0,0.0,3.0,1.0,2.0
52,53,blaupunkt,0,0,11499,4.75,32.0,qled,1,16.0,1,0.015283937733715976,4.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0
53,54,blaupunkt,0,1,15999,4.65,40.0,qled,1,19.2,1,0.011625726607912995,4.0,0.0,0.0,1.0,6.0,1.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0,1.0
54,55,lg,1,0,58499,4.15,55.0,miniled,1,25.6,1,0.004185541633190311,3.0,0.0,0.0,1.0,10.0,3.0,1.0,2.0,1.0,1.0,0.0,3.0,1.0,2.0
55,56,sony,1,0,124490,4.6,65.0,led,1,32.0,1,0.002660454654992369,4.0,0.0,1.0,0.0,10.0,2.0,1.0,2.0,1.0,2.0,1.0,4.0,1.0,2.0
56,57,vw,0,0,10999,4.5,40.0,qled,0,16.0,1,0.01063733066642422,3.0,1.0,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0
57,58,sony,1,0,210890,4.35,55.0,lcd,1,32.0,1,0.0015676418986201336,4.0,1.0,0.0,0.0,10.0,3.0,1.0,2.0,3.0,2.0,1.0,4.0,1.0,1.0
