,index,brand,ultra_hd,full_hd,Rating,inches,display_type,wifi,rom,value_score,smart_features,Company_amazon,Company_croma,Company_flipkart,ppi,resolution_width,resolution_height,fast_charging,ram,Spec_Score,size_category,charging_category,brand_category,Price
0,1,45.0,1,0,4.65,55.0,6.0,1,16.0,0.0062722388892764,4.0,0.0,0.0,1.0,3.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,0.0,10.6689553946757
1,2,26.0,1,0,4.55,55.0,2.0,1,19.2,0.0059584752017905,3.0,0.0,0.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,0.0,10.645424897265505
2,3,56.0,1,0,4.35,55.0,6.0,1,32.0,0.00646639098354,4.0,1.0,0.0,0.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,10.51867319162636
3,4,26.0,1,0,4.4,43.0,2.0,1,19.2,0.0073808832542985,3.0,0.0,0.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,0.0,2.0,0.0,10.341742483467284
4,5,36.0,1,0,4.05,75.0,6.0,1,32.0,0.0036180482406432,4.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,4.0,1.0,2.0,0.0,11.225243392518449
5,6,17.0,1,0,4.2,55.0,4.0,1,28.8,0.0057961159223184,4.0,0.0,0.0,1.0,3.0,1.0,2.0,1.0,1.0,4.0,1.0,2.0,0.0,10.819778284410283
6,7,44.0,1,0,4.5,65.0,2.0,1,16.0,0.0034448697370045,4.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,0.0,11.302093316370168
7,8,13.0,0,0,4.45,32.0,2.0,1,16.0,0.0149555146951455,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,9.121509158269568
8,9,37.0,1,0,4.2,55.0,6.0,1,16.0,0.0102671229832437,4.0,0.0,0.0,1.0,3.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,0.0,10.021270588192513
9,10,56.0,1,0,4.65,55.0,4.0,1,32.0,0.0063034734105202,4.0,1.0,0.0,0.0,3.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,0.0,10.714417768752456
10,11,41.0,1,0,4.55,43.0,4.0,1,25.6,0.0076514931864308,3.0,0.0,0.0,1.0,4.0,1.0,2.0,2.0,1.0,3.0,0.0,2.0,0.0,10.448453699421847
11,12,56.0,0,0,4.5,32.0,2.0,1,16.0,0.0149555146951455,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,9.121509158269568
12,13,45.0,1,0,4.4,55.0,4.0,1,22.4,0.0036181797977553,3.6,0.0,1.0,0.0,3.0,1.0,2.0,1.0,1.0,4.0,1.0,2.0,0.0,11.40746494431207
13,14,41.0,1,0,4.7,55.0,4.0,1,28.8,0.0062339639051967,3.0,0.0,0.0,1.0,3.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,0.0,10.736201004154935
14,15,56.0,1,0,4.3,43.0,6.0,1,32.0,0.0086002866762225,4.0,1.0,0.0,0.0,4.0,1.0,2.0,2.0,1.0,3.0,0.0,2.0,0.0,10.308952660644293
15,16,37.0,1,0,4.25,43.0,6.0,1,16.0,0.0114513705373335,4.0,0.0,0.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,9.867860374892976
16,17,45.0,1,0,4.45,65.0,4.0,1,44.8,0.0032363930581187,3.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,2.0,4.0,1.0,2.0,0.0,11.608235644774552
17,18,17.0,1,0,4.2,43.0,6.0,1,16.0,0.0112123395059112,4.0,0.0,1.0,0.0,4.0,1.0,2.0,1.0,1.0,3.0,0.0,2.0,0.0,10.0690019910137
18,19,45.0,0,1,4.65,32.0,2.0,1,16.0,0.0149555146951455,3.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,9.305650551780507
19,20,41.0,1,0,4.3,43.0,2.0,1,19.2,0.0081225230564094,3.0,0.0,0.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,0.0,2.0,0.0,10.203592144986466
20,21,28.0,1,0,4.7,55.0,4.0,1,44.8,0.0064174311044443,4.0,1.0,0.0,0.0,3.0,1.0,2.0,1.0,2.0,4.0,1.0,2.0,0.0,10.858998997563564
21,22,31.0,1,0,4.05,43.0,6.0,1,32.0,0.0090723628945157,4.0,0.0,0.0,1.0,4.0,1.0,2.0,3.0,1.0,2.0,0.0,1.0,0.0,10.126631103850338
22,23,11.0,1,0,4.05,43.0,2.0,1,19.2,0.0131635969664138,4.0,0.0,0.0,1.0,4.0,1.0,2.0,1.0,2.0,0.0,0.0,2.0,2.0,9.392661928770137
23,24,44.0,1,0,4.3,65.0,1.0,1,32.0,0.0015422524797397,4.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,4.0,1.0,2.0,0.0,12.345797413264954
24,25,45.0,1,0,4.2,55.0,6.0,1,32.0,0.0058482055304961,3.0,1.0,0.0,0.0,3.0,1.0,2.0,2.0,2.0,4.0,1.0,1.0,0.0,10.839404425545462
25,26,56.0,1,0,4.45,43.0,4.0,1,32.0,0.0078214491348222,4.0,1.0,0.0,0.0,4.0,1.0,2.0,1.0,1.0,3.0,0.0,2.0,0.0,10.404262840448617
26,27,17.0,1,0,4.65,55.0,6.0,1,19.2,0.0098054250934534,4.0,0.0,1.0,0.0,3.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,0.0,10.351373376528244
27,28,28.0,1,0,4.0,43.0,6.0,1,44.8,0.0080002666755558,4.0,1.0,0.0,0.0,4.0,1.0,2.0,1.0,2.0,3.0,0.0,2.0,0.0,10.308952660644293
28,29,13.0,0,0,4.35,32.0,6.0,1,16.0,0.0133949191685912,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,9.472012088995733
29,30,31.0,0,0,4.55,32.0,6.0,1,16.0,0.0147790409436703,4.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,9.367344120785848
30,31,17.0,1,0,4.75,50.0,6.0,1,28.8,0.0099753325110837,4.0,0.0,0.0,1.0,4.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,0.0,10.308952660644293
