,index,brand,ultra_hd,full_hd,Price,Rating,inches,display_type,resolution_width,resolution_height,wifi,fast_charging,ram,rom,hdmi_port,Spec_Score,Company,usb_port
0,1,tcl,1,0,42999,4.65,55.0,qled,3840.0,2160.0,1,20.0,2.0,16.0,1,58.0,flipkart,2.0
1,2,lg,1,0,41999,4.55,55.0,led,3840.0,2160.0,1,20.0,2.0,19.2,1,55.0,flipkart,1.0
2,3,xiaomi,1,0,36999,4.35,55.0,qled,3840.0,2160.0,1,34.0,2.0,32.0,1,55.0,amazon,2.0
3,4,lg,1,0,30999,4.4,43.0,led,3840.0,2160.0,1,20.0,2.0,19.2,1,52.0,flipkart,1.0
4,5,philips,1,0,74999,4.05,75.0,qled,3840.0,2160.0,1,30.0,2.0,32.0,1,67.0,amazon,2.0
5,6,hisense,1,0,49999,4.2,55.0,miniled,3840.0,2160.0,1,20.0,2.4,28.8,1,69.0,flipkart,2.0
6,7,sony,1,0,80990,4.5,65.0,led,3840.0,2160.0,1,20.0,2.2,16.0,1,62.0,amazon,2.0
7,8,croma,0,0,4494,4.45,32.0,led,1920.0,768.0,1,20.0,2.6,16.0,1,31.0,croma,2.0
8,9,realme,1,0,22499,4.2,55.0,qled,3840.0,2160.0,1,40.0,2.0,16.0,1,55.0,flipkart,2.0
9,10,xiaomi,1,0,44999,4.65,55.0,miniled,3840.0,2160.0,1,20.0,2.0,32.0,1,61.0,amazon,2.0
10,11,samsung,1,0,34490,4.55,43.0,miniled,3840.0,2160.0,1,30.0,2.2,25.6,1,58.0,flipkart,1.0
11,12,xiaomi,0,0,8999,4.5,32.0,led,1920.0,768.0,1,20.0,5.0,16.0,1,38.0,croma,2.0
12,13,tcl,1,0,89990,4.4,55.0,miniled,3840.0,2160.0,1,22.0,2.6,22.4,1,74.0,croma,1.6
13,14,samsung,1,0,45990,4.7,55.0,miniled,3840.0,2160.0,1,30.0,2.4,28.8,1,61.0,flipkart,1.0
14,15,xiaomi,1,0,29999,4.3,43.0,qled,3840.0,2160.0,1,30.0,2.0,32.0,1,60.0,amazon,2.0
15,16,realme,1,0,19299,4.25,43.0,qled,3840.0,2160.0,1,30.0,2.0,16.0,1,52.0,flipkart,2.0
16,17,tcl,1,0,109999,4.45,65.0,miniled,3840.0,2160.0,1,20.0,3.0,64.0,1,80.0,flipkart,1.0
17,18,hisense,1,0,23599,4.2,43.0,qled,3840.0,2160.0,1,20.0,2.6,16.0,1,63.0,croma,2.0
18,19,tcl,0,1,10999,4.65,32.0,led,1920.0,1080.0,1,24.0,5.0,16.0,1,37.0,flipkart,1.0
19,20,samsung,1,0,26999,4.3,43.0,led,3840.0,2160.0,1,20.0,2.0,19.2,1,51.0,flipkart,1.0
20,21,lumio,1,0,51999,4.7,55.0,miniled,3840.0,2160.0,1,24.0,3.0,64.0,1,71.0,amazon,3.0
21,22,motorola,1,0,24999,4.05,43.0,qled,3840.0,2160.0,1,48.0,2.0,32.0,1,56.0,flipkart,2.0
22,23,compaq,1,0,11999,4.05,43.0,led,3840.0,2160.0,1,24.0,3.8,19.2,1,39.0,flipkart,2.0
23,24,sony,1,0,261240,4.3,65.0,lcd,3840.0,2160.0,1,20.0,3.0,32.0,1,77.0,amazon,2.0
24,25,tcl,1,0,50990,4.2,55.0,qled,3840.0,2160.0,1,35.0,3.0,32.0,1,71.0,amazon,1.0
25,26,xiaomi,1,0,32999,4.45,43.0,miniled,3840.0,2160.0,1,20.0,2.0,32.0,1,58.0,amazon,2.0
