,index,brand,ultra_hd,full_hd,Price,Rating,inches,display_type,wifi,rom,hdmi_port,value_score,smart_features,Company_amazon,Company_croma,Company_flipkart,ppi,resolution_width,resolution_height,fast_charging,ram,usb_port,Spec_Score,size_category,charging_category,brand_score
0,1,tcl,1,0,10.6689553946757,4.65,55.0,qled,1,16.0,1,0.0062722388892764,4.0,0.0,0.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,8.0
1,2,lg,1,0,10.645424897265505,4.55,55.0,led,1,19.2,1,0.0059584752017905,3.0,0.0,0.0,1.0,3.0,1.0,2.0,1.0,1.0,0.0,2.0,1.0,2.0,10.0
2,3,xiaomi,1,0,10.51867319162636,4.35,55.0,qled,1,32.0,1,0.00646639098354,4.0,1.0,0.0,0.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,8.0
3,4,lg,1,0,10.341742483467284,4.4,43.0,led,1,19.2,1,0.0073808832542985,3.0,0.0,0.0,1.0,4.0,1.0,2.0,1.0,1.0,0.0,2.0,0.0,2.0,10.0
4,5,philips,1,0,11.225243392518449,4.05,75.0,qled,1,32.0,1,0.0036180482406432,4.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,1.0,2.0,8.0
5,6,hisense,1,0,10.819778284410283,4.2,55.0,miniled,1,28.8,1,0.0057961159223184,4.0,0.0,0.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,2.0,8.0
6,7,sony,1,0,11.302093316370168,4.5,65.0,led,1,16.0,1,0.0034448697370045,4.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,10.0
7,8,croma,0,0,9.121509158269568,4.45,32.0,led,1,16.0,1,0.014955514695145557,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,6.0
8,9,realme,1,0,10.021270588192513,4.2,55.0,qled,1,16.0,1,0.0102671229832437,4.0,0.0,0.0,1.0,3.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,7.0
9,10,xiaomi,1,0,10.714417768752456,4.65,55.0,miniled,1,32.0,1,0.0063034734105202,4.0,1.0,0.0,0.0,3.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,8.0
10,11,samsung,1,0,10.448453699421847,4.55,43.0,miniled,1,25.6,1,0.0076514931864308,3.0,0.0,0.0,1.0,4.0,1.0,2.0,2.0,1.0,0.0,3.0,0.0,2.0,10.0
11,12,xiaomi,0,0,9.121509158269568,4.5,32.0,led,1,16.0,1,0.014955514695145557,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0,8.0
12,13,tcl,1,0,11.40746494431207,4.4,55.0,miniled,1,22.4,1,0.0036181797977553,3.6,0.0,1.0,0.0,3.0,1.0,2.0,1.0,1.0,0.0,4.0,1.0,2.0,8.0
13,14,samsung,1,0,10.736201004154935,4.7,55.0,miniled,1,28.8,1,0.0062339639051967,3.0,0.0,0.0,1.0,3.0,1.0,2.0,2.0,1.0,0.0,3.0,1.0,2.0,10.0
14,15,xiaomi,1,0,10.308952660644293,4.3,43.0,qled,1,32.0,1,0.0086002866762225,4.0,1.0,0.0,0.0,4.0,1.0,2.0,2.0,1.0,1.0,3.0,0.0,2.0,8.0
15,16,realme,1,0,9.867860374892976,4.25,43.0,qled,1,16.0,1,0.0114513705373335,4.0,0.0,0.0,1.0,4.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0,2.0,7.0
16,17,tcl,1,0,11.608235644774552,4.45,65.0,miniled,1,44.8,1,0.0032363930581187,3.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,2.0,0.0,4.0,1.0,2.0,8.0
17,18,hisense,1,0,10.0690019910137,4.2,43.0,qled,1,16.0,1,0.0112123395059112,4.0,0.0,1.0,0.0,4.0,1.0,2.0,1.0,1.0,1.0,3.0,0.0,2.0,8.0
18,19,tcl,0,1,9.305650551780507,4.65,32.0,led,1,16.0,1,0.014955514695145557,3.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,8.0
19,20,samsung,1,0,10.203592144986466,4.3,43.0,led,1,19.2,1,0.0081225230564094,3.0,0.0,0.0,1.0,4.0,1.0,2.0,1.0,1.0,0.0,2.0,0.0,2.0,10.0
20,21,lumio,1,0,10.858998997563564,4.7,55.0,miniled,1,44.8,1,0.0064174311044443,4.0,1.0,0.0,0.0,3.0,1.0,2.0,1.0,2.0,1.0,4.0,1.0,2.0,7.538144329896907
21,22,motorola,1,0,10.126631103850338,4.05,43.0,qled,1,32.0,1,0.0090723628945157,4.0,0.0,0.0,1.0,4.0,1.0,2.0,3.0,1.0,1.0,2.0,0.0,1.0,7.0
22,23,compaq,1,0,9.392661928770137,4.05,43.0,led,1,19.2,1,0.0131635969664138,4.0,0.0,0.0,1.0,4.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,2.0,3.0
23,24,sony,1,0,12.345797413264954,4.3,65.0,lcd,1,32.0,1,0.001542252479739705,4.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,4.0,1.0,2.0,10.0
24,25,tcl,1,0,10.839404425545462,4.2,55.0,qled,1,32.0,1,0.0058482055304961,3.0,1.0,0.0,0.0,3.0,1.0,2.0,2.0,2.0,0.0,4.0,1.0,1.0,8.0
25,26,xiaomi,1,0,10.404262840448617,4.45,43.0,miniled,1,32.0,1,0.0078214491348222,4.0,1.0,0.0,0.0,4.0,1.0,2.0,1.0,1.0,1.0,3.0,0.0,2.0,8.0
26,27,hisense,1,0,10.351373376528244,4.65,55.0,qled,1,19.2,1,0.0098054250934534,4.0,0.0,1.0,0.0,3.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,8.0
27,28,lumio,1,0,10.308952660644293,4.0,43.0,qled,1,44.8,1,0.0080002666755558,4.0,1.0,0.0,0.0,4.0,1.0,2.0,1.0,2.0,1.0,3.0,0.0,2.0,7.538144329896907
28,29,croma,0,0,9.472012088995733,4.35,32.0,qled,1,16.0,1,0.0133949191685912,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,6.0
29,30,motorola,0,0,9.367344120785848,4.55,32.0,qled,1,16.0,1,0.0147790409436703,4.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,7.0
30,31,hisense,1,0,10.308952660644293,4.75,50.0,qled,1,28.8,1,0.0099753325110837,4.0,0.0,0.0,1.0,4.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,8.0
31,32,tcl,1,0,10.736396675471232,4.0,55.0,miniled,1,16.0,1,0.0054783799647818,3.0,0.0,0.0,1.0,3.0,1.0,2.0,1.0,1.0,0.0,3.0,1.0,2.0,8.0
32,33,lumio,1,0,10.596634733096073,4.55,55.0,qled,1,44.8,1,0.007166429160729,4.0,1.0,0.0,0.0,3.0,1.0,2.0,2.0,2.0,1.0,3.0,1.0,2.0,7.538144329896907
33,34,tcl,1,0,10.38871840689063,4.05,43.0,qled,1,16.0,1,0.0072299168975069,3.0,0.0,0.0,1.0,4.0,1.0,2.0,1.0,1.0,0.0,3.0,0.0,2.0,8.0
34,35,lg,1,0,10.72965662094508,4.25,43.0,miniled,1,22.4,1,0.0053950536222368,3.0,0.0,1.0,0.0,4.0,1.0,2.0,1.0,1.0,0.0,3.0,0.0,2.0,10.0
35,36,samsung,1,0,10.531856183153891,4.3,50.0,led,1,19.2,1,0.0063083488930381,3.0,1.0,0.0,0.0,4.0,1.0,2.0,2.0,1.0,0.0,2.0,1.0,2.0,10.0
36,37,realme,0,0,9.323669057283183,4.65,32.0,qled,1,16.0,1,0.014955514695145557,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,7.0
37,38,vw,0,1,9.615805480084347,4.55,43.0,qled,1,19.2,1,0.0124374958330555,3.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,2.0,7.538144329896907
