Model,Price,Rating,Specs,Company,Spec_Score
TCL P7K 55 inch Ultra HD 4K Smart QLED TV (55P7K),"₹42,999",4.65,"55 in, QLED TV4K Resolution, 3840 x 2160 pixelsWifi, EthernetSmart TV2 Speakers, 20 W OutputCA75 + CA55 1.3GHz Processor, 2 GB RAM, 16 GB StorageHDR, Dolby Vision3 HDMI Ports, 2 USB Ports",flipkart,58
LG UA8200 55 inch Ultra HD 4K Smart LED TV (55UA82006LA),"₹41,999",4.55,"55 in, LED TV4K Resolution, 3840 x 2160 pixelsWifi, EthernetSmart TV2 Speakers, 20 W Output2 GB RAM, 8 GB StorageHDR3 HDMI Ports, 1 USB Ports",flipkart,55
Xiaomi FX Pro Series 55 inch Ultra HD 4K  Smart QLED TV (L55MB-FPIN),"₹36,999",4.35,"55 in, QLED TV4K Resolution, 3840 x 2160 pixelsWifi, EthernetSmart TV34 W OutputQuad Core A55 Processor, 2 GB RAM, 32 GB StorageHDR, High Frame Rate (HFR)3 HDMI Ports, 2 USB Ports",amazon,55
LG UA8200 43 inch Ultra HD 4K Smart LED TV (43UA82006LA),"₹30,999",4.4,"43 in, LED TV4K Resolution, 3840 x 2160 pixelsWifi, EthernetSmart TV2 Speakers, 20 W Output2 GB RAM, 8 GB StorageHDR3 HDMI Ports, 1 USB Ports",flipkart,52
Philips Lumina Series 75 inch Ultra HD 4K Smart QLED TV (75PQT8100/94),"₹74,999",4.05,"75 in, QLED TV4K Resolution, 3840 x 2160 pixelsWifi, EthernetSmart TV30 W Output2 GB RAM, 32 GB StorageHDR, Dolby Vision3 HDMI Ports, 2 USB Ports",amazon,67
Hisense U7Q 55 inch Ultra HD 4K Smart Mini LED TV (55U7Q),"₹49,999",4.2,"55 in, Mini LED TV4K Resolution, 3840 x 2160 pixelsWifi, EthernetSmart TV2 Speakers, 20 W OutputHDR, Dolby Vision4 HDMI Ports, 2 USB PortsDolby Atmos",flipkart,69
Sony Bravia II S25BM2 65 inch Ultra HD 4K Smart LED TV (K-65S25BM2),"₹80,990",4.5,"65 in, LED TV4K Resolution, 3840 x 2160 pixelsWifi, EthernetSmart TV2 Speakers, 20 W Output16 GB StorageHDR4 HDMI Ports, 2 USB Ports",amazon,62
Croma CREL032HOF024601 32 Inch HD Ready Smart LED TV,"₹4,494",4.45,"32 in, LED TV1366 x 768 pixelsWifi, EthernetSmart TV2 Speakers, 20 W Output2 HDMI Ports, 2 USB Ports178 ° Viewing AngleScreen Mirroring",croma,31
Realme TechLife CineSonic Q 55 inch Ultra HD 4K Smart QLED TV (55UHDGQRWSGQ),"₹22,499",4.2,"55 in, QLED TV4K Resolution, 3840 x 2160 pixelsWifi, EthernetSmart TV2 Speakers, 40 W OutputMediaTek Processor, 2 GB RAM, 16 GB StorageHDR, Dolby Vision3 HDMI Ports, 2 USB Ports",flipkart,55
Xiaomi TV FX Series 2026 55 inch Ultra HD 4K Smart QD-Mini LED TV (L55MC-FSMIN),"₹44,999",4.65,"55 in, Mini LED TV4K Resolution, 3840 x 2160 pixelsWifi, EthernetSmart TV20 W OutputQuad Core A55 Processor, 2 GB RAM, 32 GB StorageHDR3 HDMI Ports, 2 USB Ports",amazon,61
Samsung Vision AI M2EH 43 inch Ultra HD 4K Smart Mini LED TV (UA43M2EHAULXL),"₹34,490",4.55,"43 in, Mini LED TV4K Resolution, 3840 x 2160 pixelsWifi, EthernetSmart TV2 Speakers, 30 W OutputHDR, High Frame Rate (HFR)3 HDMI Ports, 1 USB PortsSupports Apps & Games",flipkart,58
Xiaomi A Series 2024 32 inch HD Ready Smart LED TV (L32MA-AIN),"₹8,999",4.5,"32 in, LED TV1366 x 768 pixelsWifi, EthernetSmart TV2 Speakers, 20 W OutputCortex A35 Processor, 1.5 GB RAM, 8 GB Storage2 HDMI Ports, 2 USB PortsDolby Audio",croma,38
TCL C7L 55 inch Ultra HD 4K Smart SQD-Mini LED TV (55C7L),"₹89,990",4.4,"55 in, Mini LED TV4K Resolution, 3840 x 2160 pixelsWifiSmart TVHDR, Dolby Vision3 HDMI PortsDolby Audio, Dolby Atmos178 ° Viewing Angle",croma,74
Samsung Vision AI M2EH 55 inch Ultra HD 4K Smart Mini LED TV (UA55M2EHAULXL),"₹45,990",4.7,"55 in, Mini LED TV4K Resolution, 3840 x 2160 pixelsWifi, EthernetSmart TV2 Speakers, 30 W OutputHDR, High Frame Rate (HFR)3 HDMI Ports, 1 USB PortsSupports Apps & Games",flipkart,61
Xiaomi X Pro 2025 43 inch Ultra HD 4K Smart QLED TV (L43MB-APIN),"₹29,999",4.3,"43 in, QLED TV4K Resolution, 3840 x 2160 pixelsWifi, EthernetSmart TV2 Speakers, 30 W OutputA55 Quad Core Processor Processor, 2 GB RAM, 32 GB StorageHDR, Dolby Vision3 HDMI Ports, 2 USB Ports",amazon,60
Realme TechLife CineSonic Q 43 inch Ultra HD 4K Smart QLED TV (43UHDGQRVS3Q),"₹19,299",4.25,"43 in, QLED TV4K Resolution, 3840 x 2160 pixelsWifi, EthernetSmart TV2 Speakers, 30 W OutputMediaTek Processor, 2 GB RAM, 16 GB StorageHDR, Dolby Vision3 HDMI Ports, 2 USB Ports",flipkart,52
TCL Q7D 65 inch Ultra HD 4K Smart RGB-Mini LED TV (65Q7D),"₹1,09,999",4.45,"65 in, Mini LED TV4K Resolution, 3840 x 2160 pixelsWifi, EthernetSmart TV2 Speakers, 20 W Output3 GB RAM, 64 GB StorageHDR, Dolby Vision4 HDMI Ports, 1 USB Ports",flipkart,80
Hisense Q6N 43 inch Ultra HD 4K Smart QLED TV (43Q6N),"₹23,599",4.2,"43 in, QLED TV4K Resolution, 3840 x 2160 pixelsWifi, EthernetSmart TV2 Speakers, 20 W OutputHDR, Dolby Vision, High Frame Rate (HFR)3 HDMI Ports, 2 USB PortsDolby Atmos",croma,63
TCL S5500 32 inch Full HD Smart LED TV (32S5500),"₹10,999",4.65,"32 in, LED TVFull HD, 1920 x 1080 pixelsWifi, EthernetSmart TV2 Speakers, 24 W Output1.5 GB RAM, 16 GB StorageHDR2 HDMI Ports, 1 USB Ports",flipkart,37
Samsung DUE76 43 inch Ultra HD 4K Smart LED TV (UA43DUE76AKLXL),"₹26,999",4.3,"43 in, LED TV4K Resolution, 3840 x 2160 pixelsWifi, EthernetSmart TV2 Speakers, 20 W OutputCrystal Processor 4K Processor, 2 GB RAM, 8 GB StorageHDR3 HDMI Ports, 1 USB Ports",flipkart,51
Lumio Vision 9 2026 55 inch Ultra HD 4K Smart QD-MiniLED TV (EPIC3-ADSI),"₹51,999",4.7,"55 in, Mini LED TV4K Resolution, 3840 x 2160 pixelsWifi, EthernetSmart TV2 Speakers, 24 W OutputMediatek Pentonic 700 Processor, 3 GB RAM, 64 GB StorageHDR, Dolby Vision, High Frame Rate (HFR)3 HDMI Ports, 3 USB Ports",amazon,71
Motorola Envision X 2025 43 inch Ultra HD 4K Smart QLED TV (43UHDGQMVSAQ),"₹24,999",4.05,"43 in, QLED TV4K Resolution, 3840 x 2160 pixelsWifi, EthernetSmart TV2 Speakers, 48 W OutputMediatek Processor Processor, 2 GB RAM, 32 GB StorageHDR, Dolby Vision3 HDMI Ports, 2 USB Ports",flipkart,56
Compaq HUEQ X 43 inch Ultra HD 4K Smart LED TV (CQV43AX1UD),"₹11,999",4.05,"43 in, LED TV4K Resolution, 3840 x 2160 pixelsWifi, EthernetSmart TV2 Speakers, 24 W Output2 HDMI Ports, 2 USB Ports178 ° Viewing AngleScreen Mirroring",flipkart,39
Sony Bravia 7 II 65 inch Ultra HD 4K Smart RGB LED TV (K-65XR70M2),"₹2,61,240",4.3,"65 in, LCD TV4K Resolution, 3840 x 2160 pixelsWifi, EthernetSmart TV2 Speakers, 20 W Output32 GB StorageHDR, Dolby Vision, High Frame Rate (HFR)4 HDMI Ports, 2 USB Ports",amazon,77
TCL T8D 55 inch Ultra HD 4K Smart QLED TV (55T8D),"₹50,990",4.2,"55 in, QLED TV4K Resolution, 3840 x 2160 pixelsWifi, EthernetSmart TV35 W Output3 GB RAM, 32 GB StorageHDR, Dolby Vision4 HDMI Ports, 1 USB Ports",amazon,71
Xiaomi TV FX Series 2026 43 inch Ultra HD 4K Smart QD-Mini LED TV (L43MC-FSMIN),"₹32,999",4.45,"43 in, Mini LED TV4K Resolution, 3840 x 2160 pixelsWifi, EthernetSmart TV2 Speakers, 20 W OutputQuad Core A55 Processor, 2 GB RAM, 32 GB StorageHDR3 HDMI Ports, 2 USB Ports",amazon,58
Hisense Q6N 55 inch Ultra HD 4K Smart QLED TV (55Q6N),"₹31,299",4.65,"55 in, QLED TV4K Resolution, 3840 x 2160 pixelsWifi, EthernetSmart TV2 Speakers, 20 W OutputHDR, Dolby Vision, High Frame Rate (HFR)3 HDMI Ports, 2 USB PortsDolby Atmos",croma,66
Lumio Vision 7 2026 43 inch Ultra HD 4K Smart QLED TV (FTW1-ADSJ),"₹29,999",4,"43 in, QLED TV4K Resolution, 3840 x 2160 pixelsWifi, EthernetSmart TV2 Speakers, 24 W OutputBOSS Flagship Processor Processor, 3 GB RAM, 64 GB StorageHDR, Dolby Vision3 HDMI Ports, 3 USB Ports",amazon,60
Croma CREL032HGQ331850 32 inch HD Ready Smart QLED TV,"₹12,990",4.35,"32 in, QLED TV1366 x 768 pixelsWifi, EthernetSmart TV2 Speakers, 20 W OutputQuad Core Processor, 1 GB RAM, 8 GB StorageHDR2 HDMI Ports, 2 USB Ports",croma,40
Motorola Envision X 2025 43 inch HD Ready Smart QLED TV (32UHDGQMVSAQ),"₹11,699",4.55,"32 in, QLED TV1366 x 768 pixelsWifi, EthernetSmart TV2 Speakers, 40 W Output1 GB RAM, 8 GB Storage2 HDMI Ports, 2 USB PortsSupports Apps & Games",flipkart,38
Hisense E7Q 50 inch Ultra HD 4K Smart QLED TV (50E7Q),"₹29,999",4.75,"50 in, QLED TV4K Resolution, 3840 x 2160 pixelsWifi, EthernetSmart TV30 W OutputHDR, Dolby Vision, High Frame Rate (HFR)3 HDMI Ports, 2 USB PortsDolby Atmos",flipkart,63
TCL Q6CS 55 inch Ultra HD 4K Smart Mini LED TV (55Q6CS),"₹45,999",4,"55 in, Mini LED TV4K Resolution, 3840 x 2160 pixelsWifi, EthernetSmart TV2 Speakers, 20 W OutputCA75 + CA55 Processor, 2 GB RAM, 16 GB StorageHDR, Dolby Vision3 HDMI Ports, 1 USB Ports",flipkart,63
Lumio Vision 7 2026 55 inch Ultra HD 4K Smart QLED TV (FTW3-ADSJ),"₹39,999",4.55,"55 in, QLED TV4K Resolution, 3840 x 2160 pixelsWifi, EthernetSmart TV2 Speakers, 30 W OutputBOSS Flagship Processor Processor, 3 GB RAM, 64 GB StorageHDR, Dolby Vision3 HDMI Ports, 3 USB Ports",amazon,63
TCL T69D 43 inch Ultra HD 4K Smart QLED TV (43T69D),"₹32,490",4.05,"43 in, QLED TV4K Resolution, 3840 x 2160 pixelsWifi, EthernetSmart TV2 Speakers, 24 W Output2 GB RAM, 16 GB StorageHDR, Dolby Vision3 HDMI Ports, 1 USB Ports",flipkart,58
LG QNED70 43 inch Ultra HD 4K Smart Mini LED TV (43QNED70BLA),"₹45,690",4.25,"43 in, Mini LED TV4K Resolution, 3840 x 2160 pixelsWifi, EthernetSmart TV2 Speakers, 20 W OutputHDR3 HDMI Ports, 1 USB PortsDolby Atmos",croma,58
Samsung UE83AH 50 inch Ultra HD 4K Smart LED TV (UA50UE83AHULXL),"₹37,490",4.3,"50 in, LED TV4K Resolution, 3840 x 2160 pixelsWifiSmart TV2 Speakers, 30 W OutputHDR3 HDMI Ports, 1 USB PortsSupports Apps & Games",amazon,55
Realme TechLife 32 inch HD Ready Smart QLED TV (32HDGQRASOQ),"₹11,199",4.65,"32 in, QLED TV1366 x 768 pixelsWifi, EthernetSmart TV2 Speakers, 20 W OutputMediatek Processor, 1 GB RAM, 8 GB StorageHDR3 HDMI Ports, 2 USB Ports",flipkart,43
VW Spectra Series 43 inch Full HD Smart QLED TV (VW43AQ3),"₹14,999",4.55,"43 in, QLED TVFull HD, 1920 x 1080 pixelsWifi, EthernetSmart TV2 Speakers, 24 W OutputHDR3 HDMI Ports, 1 USB PortsSupports Apps & Games",amazon,41
Hisense E8S 55 inch Ultra HD 4K Smart Mini LED TV (55E8S),"₹57,999",4.2,"55 in, Mini LED TV4K Resolution, 3840 x 2160 pixelsWifi, EthernetSmart TV2 Speakers, 20 W OutputHDR, Dolby Vision4 HDMI Ports, 2 USB PortsDolby Atmos",flipkart,69
Hisense E8S 65 inch Ultra HD 4K Smart Mini LED TV (65E8S),"₹76,990",4.25,"65 in, Mini LED TV4K Resolution, 3840 x 2160 pixelsWifi, EthernetSmart TV2 Speakers, 20 W OutputHDR, Dolby Vision4 HDMI Ports, 2 USB PortsDolby Atmos",flipkart,73
TCL T8D 65 inch Ultra HD 4K Smart QLED TV (65T8D),"₹65,990",4.45,"65 in, QLED TV4K Resolution, 3840 x 2160 pixelsWifi, EthernetSmart TV35 W Output3 GB RAM, 32 GB StorageHDR, Dolby Vision4 HDMI Ports, 1 USB Ports",amazon,74
Samsung M71H 43 inch Ultra HD 4K Smart Mini LED TV (UA43M71HAULXL),"₹44,690",4.65,"43 in, Mini LED TV4K Resolution, 3840 x 2160 pixelsWifi, EthernetSmart TV2 Speakers, 30 W OutputHDR3 HDMI Ports, 1 USB PortsSupports Apps & Games",croma,57
LG AI NANO NU87 43 inch Ultra HD 4K Smart LED TV (43NU870BPLA),"₹32,999",4.45,"43 in, LED TV4K Resolution, 3840 x 2160 pixelsWifi, EthernetSmart TV2 Speakers, 20 W OutputHDR3 HDMI Ports, 1 USB PortsDolby Atmos",amazon,50
LG Nano AI NU885 43 inch Ultra HD 4K Smart LED TV (43NU885BPLA),"₹36,299",4.55,"43 in, LED TV4K Resolution, 3840 x 2160 pixelsWifi, EthernetSmart TV2 Speakers, 20 W OutputHDR3 HDMI Ports, 1 USB PortsDolby Atmos",croma,54
TCL P8L 75 inch Ultra HD 4K Smart QLED TV (75P8L),"₹92,990",4.4,"75 in, QLED TV4K Resolution, 3840 x 2160 pixelsWifi, EthernetSmart TV2 Speakers, 20 W OutputMediaTek Pentonic 700(MT9653) Processor, 32 GB StorageHDR, Dolby Vision4 HDMI Ports, 1 USB Ports",croma,77
TCL Q6C 55 inch Ultra HD 4K Smart Mini LED TV (55Q6C),"₹52,990",4.45,"55 in, QLED TV4K Resolution, 3840 x 2160 pixelsWifi, EthernetSmart TV2 Speakers, 20 W OutputQuad Core Processor, 3 GB RAM, 32 GB StorageHDR, Dolby Vision, High Frame Rate (HFR)4 HDMI Ports, 1 USB Ports",amazon,68
TCL T8C 55 inch Ultra HD 4K Smart QLED TV (55T8C),"₹42,990",4.7,"55 in, QLED TV4K Resolution, 3840 x 2160 pixelsWifi, EthernetSmart TV2 Speakers, 20 W OutputQuad Core Processor, 3 GB RAM, 32 GB StorageHDR, Dolby Vision4 HDMI Ports, 1 USB Ports",amazon,64
Xiaomi FX Pro Series 43 inch Ultra HD 4K Smart QLED TV (L43MB-FPIN),"₹26,999",4.1,"43 in, QLED TV4K Resolution, 3840 x 2160 pixelsWifi, EthernetSmart TV30 W OutputQuad Core A55 Processor, 2 GB RAM, 32 GB StorageHDR3 HDMI Ports, 2 USB Ports",amazon,54
Xiaomi A Pro 2025 32 inch HD Ready Smart QLED TV (L32MB-APIN),"₹14,999",4.55,"32 in, QLED TV1366 x 768 pixelsWifiSmart TV2 Speakers, 20 W OutputA53 Quad Core Processor, 1 GB RAM, 8 GB Storage2 HDMI Ports, 2 USB PortsDolby Audio",flipkart,40
