,Model,url
0,TCL P7K 55 inch Ultra HD 4K Smart QLED TV (55P7K),https://cdn1.smartprix.com/rx-igjcIcyXT-w280-h280/tcl-p7k-55-inch-ultr.webp
1,LG UA8200 55 inch Ultra HD 4K Smart LED TV (55UA82006LA),https://cdn1.smartprix.com/rx-iAV6QAzcH-w280-h280/lg-ua8200-55-inch-ul.webp
2,Xiaomi FX Pro Series 55 inch Ultra HD 4K  Smart QLED TV (L55MB-FPIN),https://cdn1.smartprix.com/rx-iUmLQrhUR-w280-h280/xiaomi-fx-pro-series.webp
3,LG UA8200 43 inch Ultra HD 4K Smart LED TV (43UA82006LA),https://cdn1.smartprix.com/rx-iD6UNJXDf-w280-h280/lg-ua8200-43-inch-ul.webp
4,Philips Lumina Series 75 inch Ultra HD 4K Smart QLED TV (75PQT8100/94),https://cdn1.smartprix.com/rx-iwmYKVnuL-w280-h280/philips-lumina-serie.webp
5,Hisense U7Q 55 inch Ultra HD 4K Smart Mini LED TV (55U7Q),https://cdn1.smartprix.com/rx-iJ6xPg5tD-w280-h280/hisense-u7q-55-inch.webp
6,Sony Bravia II S25BM2 65 inch Ultra HD 4K Smart LED TV (K-65S25BM2),https://cdn1.smartprix.com/rx-i2HpsHCVm-w280-h280/sony-bravia-ii-s25bm.webp
7,Croma CREL032HOF024601 32 Inch HD Ready Smart LED TV,https://cdn1.smartprix.com/rx-ifWarfBzF-w280-h280/croma-crel032hof0246.webp
8,Realme TechLife CineSonic Q 55 inch Ultra HD 4K Smart QLED TV (55UHDGQRWSGQ),https://cdn1.smartprix.com/rx-iiB2dFxwk-w280-h280/realme-techlife-cine.webp
9,Xiaomi TV FX Series 2026 55 inch Ultra HD 4K Smart QD-Mini LED TV (L55MC-FSMIN),https://cdn1.smartprix.com/rx-iEZL67XoU-w280-h280/xiaomi-tv-fx-series.webp
10,Samsung Vision AI M2EH 43 inch Ultra HD 4K Smart Mini LED TV (UA43M2EHAULXL),https://cdn1.smartprix.com/rx-iYfzisbwz-w280-h280/samsung-vision-ai-m2.webp
11,Xiaomi A Series 2024 32 inch HD Ready Smart LED TV (L32MA-AIN),https://cdn1.smartprix.com/rx-iCd5mpUKK-w280-h280/xiaomi-a-series-2024.webp
12,TCL C7L 55 inch Ultra HD 4K Smart SQD-Mini LED TV (55C7L),https://cdn1.smartprix.com/rx-iO7ePwt5B-w280-h280/tcl-c7l-55-inch-ultr.webp
13,Samsung Vision AI M2EH 55 inch Ultra HD 4K Smart Mini LED TV (UA55M2EHAULXL),https://cdn1.smartprix.com/rx-ioyhOuKc8-w280-h280/samsung-vision-ai-m2.webp
14,Xiaomi X Pro 2025 43 inch Ultra HD 4K Smart QLED TV (L43MB-APIN),https://cdn1.smartprix.com/rx-igp261GGk-w280-h280/xiaomi-x-pro-2025-43.webp
15,Realme TechLife CineSonic Q 43 inch Ultra HD 4K Smart QLED TV (43UHDGQRVS3Q),https://cdn1.smartprix.com/rx-iNJvnDnIv-w280-h280/realme-techlife-cine.webp
16,TCL Q7D 65 inch Ultra HD 4K Smart RGB-Mini LED TV (65Q7D),https://cdn1.smartprix.com/rx-i09go34CS-w280-h280/tcl-q7d-65-inch-ultr.webp
17,Hisense Q6N 43 inch Ultra HD 4K Smart QLED TV (43Q6N),https://cdn1.smartprix.com/rx-iKtHO7ESt-w280-h280/hisense-q6n-43-inch.webp
18,TCL S5500 32 inch Full HD Smart LED TV (32S5500),https://cdn1.smartprix.com/rx-ieSgAzuaX-w280-h280/tcl-s5500-32-inch-fu.webp
19,Samsung DUE76 43 inch Ultra HD 4K Smart LED TV (UA43DUE76AKLXL),https://cdn1.smartprix.com/rx-iAfptAru5-w280-h280/samsung-due76-43-inc.webp
20,Lumio Vision 9 2026 55 inch Ultra HD 4K Smart QD-MiniLED TV (EPIC3-ADSI),https://cdn1.smartprix.com/rx-iYkYvVRlI-w280-h280/lumio-vision-9-2026.webp
21,Motorola Envision X 2025 43 inch Ultra HD 4K Smart QLED TV (43UHDGQMVSAQ),https://cdn1.smartprix.com/rx-iQPAOatoQ-w280-h280/motorola-envision-x.webp
22,Compaq HUEQ X 43 inch Ultra HD 4K Smart LED TV (CQV43AX1UD),https://cdn1.smartprix.com/rx-iUP9NoTgo-w280-h280/compaq-hueq-x-43-inc.webp
23,Sony Bravia 7 II 65 inch Ultra HD 4K Smart RGB LED TV (K-65XR70M2),https://cdn1.smartprix.com/rx-ixXVQtiLY-w280-h280/sony-bravia-7-ii-65.webp
